name,description,clean_text,tags,views,comments
Ken Robinson: Do schools kill creativity?,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,"['sir', 'ken', 'robinson', 'make', 'entertaining', 'profoundly', 'moving', 'case', 'create', 'education', 'system', 'nurture', 'undermine', 'creativity']","['children', 'creativity', 'culture', 'dance', 'education', 'parenting', 'teaching']",47227110,4553
Al Gore: Averting the climate crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.","['humor', 'humanity', 'exude', 'inconvenient', 'truth', 'al', 'gore', 'spell', '15', 'way', 'individual', 'address', 'climate', 'change', 'immediately', 'buy', 'hybrid', 'invent', 'new', 'hotter', 'brand', 'global', 'warming']","['alternative energy', 'cars', 'climate change', 'culture', 'environment', 'global issues', 'science', 'sustainability', 'technology']",3200520,265
David Pogue: Simplicity sells,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.","['new', 'york', 'times', 'columnist', 'david', 'pogue', 'take', 'aim', 'technology', 'bad', 'interface', 'design', 'offender', 'provide', 'encourage', 'example', 'product', 'right', 'funny', 'thing', 'burst', 'song']","['computers', 'entertainment', 'interface design', 'media', 'music', 'performance', 'simplicity', 'software', 'technology']",1636292,124
Majora Carter: Greening the ghetto,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.","['emotionally', 'charge', 'talk', 'macarthur', 'win', 'activist', 'majora', 'carter', 'detail', 'fight', 'environmental', 'justice', 'south', 'bronx', 'show', 'minority', 'neighborhood', 'suffer', 'flawed', 'urban', 'policy']","['MacArthur grant', 'activism', 'business', 'cities', 'environment', 'green', 'inequality', 'politics', 'pollution']",1697550,200
Hans Rosling: The best stats you've ever seen,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""","['see', 'datum', 'present', 'like', 'drama', 'urgency', 'sportscaster', 'statistic', 'guru', 'hans', 'rosling', 'debunk', 'myth', 'call', 'develop', 'world']","['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']",12005869,593
Tony Robbins: Why we do what we do,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.","['tony', 'robbins', 'discuss', 'invisible', 'force', 'motivate', 'action', 'high', 'five', 'al', 'gore', 'row']","['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']",20685401,672
Julia Sweeney: Letting go of God,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ","['young', 'mormon', 'missionary', 'knock', 'julia', 'sweeney', 'door', 'day', 'touch', 'quest', 'completely', 'rethink', 'belief', 'excerpt', 'sweeney', 'solo', 'let', 'god']","['Christianity', 'God', 'atheism', 'comedy', 'culture', 'humor', 'performance', 'religion', 'storytelling']",3769987,919
Joshua Prince-Ramus: Behind the design of Seattle's library,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.","['architect', 'joshua', 'prince', 'ramus', 'take', 'audience', 'dazzle', 'dizzy', 'virtual', 'tour', 'recent', 'project', 'central', 'library', 'seattle', 'museum', 'plaza', 'louisville', 'charles', 'wyly', 'theater', 'dallas']","['architecture', 'collaboration', 'culture', 'design', 'library']",967741,46
Dan Dennett: Let's teach religion -- all religion -- in schools,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.","['philosopher', 'dan', 'dennett', 'call', 'religion', 'religion', 'teach', 'school', 'understand', 'nature', 'natural', 'phenomenon', 'take', 'purpose', 'drive', 'life', 'dispute', 'claim', 'moral', 'deny', 'evolution']","['God', 'TED Brain Trust', 'atheism', 'brain', 'cognitive science', 'consciousness', 'evolution', 'philosophy', 'religion']",2567958,852
Rick Warren: A life of purpose,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.","['pastor', 'rick', 'warren', 'author', 'purpose', 'drive', 'life', 'reflect', 'crisis', 'purpose', 'wake', 'book', 'wild', 'success', 'explain', 'belief', 'god', 'intention', 'use', 'talent', 'influence', 'good']","['Christianity', 'God', 'culture', 'happiness', 'leadership', 'motivation', 'philanthropy', 'religion']",3095993,900
