name,description,processed_tokens,tags,views,comments
"Steven Johnson: How the ""ghost map"" helped end a killer disease","Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.","['author', 'steven', 'johnson', 'take', '10', 'minute', 'tour', '<', '>', 'ghost', 'map</i', '>', 'book', 'cholera', 'outbreak', '1854', 'london', 'impact', 'science', 'city', 'modern', 'society']","['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']",684519,47
Raspyni Brothers: Juggle and jest,"Illustrious jugglers the Raspyni Brothers show off their uncanny balance, agility, coordination and willingness to sacrifice (others). Now, if you'll just stand completely still...","['illustrious', 'juggler', 'raspyni', 'brothers', 'uncanny', 'balance', 'agility', 'coordination', 'willingness', 'sacrifice', 'stand', 'completely']","['collaboration', 'entertainment', 'humor', 'physics']",807628,84
Andrew Youn: 3 reasons why we can win the fight against poverty,"Half of the world's poorest people have something in common: they're small farmers. In this eye-opening talk, activist Andrew Youn shows how his group, One Acre Fund, is helping these farmers lift themselves out of poverty by delivering to them life-sustaining farm services that are already in use all over the world. Enter this talk believing we'll never be able to solve hunger and extreme poverty, and leave it with a new understanding of the scale of the world's biggest problems.","['half', 'world', 'poor', 'people', 'common', 'small', 'farmer', 'eye', 'opening', 'talk', 'activist', 'andrew', 'youn', 'show', 'group', 'acre', 'fund', 'help', 'farmer', 'lift', 'poverty', 'deliver', 'life', 'sustain', 'farm', 'service', 'use', 'world', 'enter', 'talk', 'believe', 'able', 'solve', 'hunger', 'extreme', 'poverty', 'leave', 'new', 'understanding', 'scale', 'world', 'big', 'problem']","['Africa', 'activism', 'agriculture', 'community', 'farming', 'food', 'future', 'global development', 'global issues', 'innovation', 'poverty', 'society']",1173235,70
Seyi Oyesola: A hospital tour in Nigeria,Dr. Seyi Oyesola takes a searing look at health care in underdeveloped countries. His photo tour of a Nigerian teaching hospital -- all low-tech hacks and donated supplies -- drives home the challenge of doing basic health care there.,"['dr.', 'seyi', 'oyesola', 'take', 'searing', 'look', 'health', 'care', 'underdeveloped', 'country', 'photo', 'tour', 'nigerian', 'teaching', 'hospital', 'low', 'tech', 'hack', 'donate', 'supply', 'drive', 'home', 'challenge', 'basic', 'health', 'care']","['activism', 'design', 'health', 'health care', 'invention', 'public health', 'technology']",230569,49
Morgana Bailey: The danger of hiding who you are,"Morgana Bailey has been hiding her true self for 16 years. In a brave talk, she utters four words that might not seem like a big deal to some, but to her have been paralyzing. Why speak up? Because she's realized that her silence has personal, professional and societal consequences. In front of an audience of her co-workers, she reflects on what it means to fear the judgment of others, and how it makes us judge ourselves.","['morgana', 'bailey', 'hide', 'true', 'self', '16', 'year', 'brave', 'talk', 'utter', 'word', 'like', 'big', 'deal', 'paralyze', 'speak', 'realize', 'silence', 'personal', 'professional', 'societal', 'consequence', 'audience', 'co', 'worker', 'reflect', 'mean', 'fear', 'judgment', 'make', 'judge']","['Gender equality', 'LGBT', 'business', 'social change', 'work']",2647157,181
Michael Norton: How to buy happiness,"At TEDxCambridge, Michael Norton shares fascinating research on how money can indeed buy happiness -- when you don't spend it on yourself. Listen for surprising data on the many ways pro-social spending can benefit you, your work, and (of course) other people.","['tedxcambridge', 'michael', 'norton', 'share', 'fascinating', 'research', 'money', 'buy', 'happiness', 'spend', 'listen', 'surprising', 'datum', 'way', 'pro', 'social', 'spending', 'benefit', 'work', 'course', 'people']","['TEDx', 'business', 'community', 'consumerism', 'happiness', 'money', 'philanthropy', 'psychology']",3539952,409
Tasso Azevedo: Hopeful lessons from the battle to save rainforests,"""Save the rainforest"" is an environmental slogan as old as time — but Tasso Azevedo catches us up on how the fight is actually going these days. Spurred by the jaw-dropping losses of the 1990s, new laws (and transparent data) are helping slow the rate of deforestation in Brazil. Is it enough? Not yet. He has five ideas about what we should do next. And he asks if the lessons learned in Brazil could be applied to an even bigger problem: global climate change.","['save', 'rainforest', 'environmental', 'slogan', 'old', 'time', 'tasso', 'azevedo', 'catch', 'fight', 'actually', 'go', 'day', 'spur', 'jaw', 'drop', 'loss', '1990', 'new', 'law', 'transparent', 'datum', 'help', 'slow', 'rate', 'deforestation', 'brazil', 'idea', 'ask', 'lesson', 'learn', 'brazil', 'apply', 'big', 'problem', 'global', 'climate', 'change']","['climate change', 'conservation', 'ecology', 'environment', 'green', 'plants', 'politics', 'science', 'social change', 'sustainability', 'trees']",877692,22
Natalie Jeremijenko: The art of the eco-mindshift,"Natalie Jeremijenko's unusual lab puts art to work, and addresses environmental woes by combining engineering know-how with public art and a team of volunteers. These real-life experiments include: Walking tadpoles, texting ""fish,"" planting fire-hydrant gardens and more.","['natalie', 'jeremijenko', 'unusual', 'lab', 'put', 'art', 'work', 'address', 'environmental', 'woe', 'combine', 'engineer', 'know', 'public', 'art', 'team', 'volunteer', 'real', 'life', 'experiment', 'include', 'walk', 'tadpole', 'texte', 'fish', 'plant', 'fire', 'hydrant', 'garden']","['art', 'collaboration', 'design', 'engineering', 'environment', 'performance art', 'technology']",414028,69
Rives: The Museum of Four in the Morning,"Beware: Rives has a contagious obsession with 4 a.m. At TED2007, the poet shared what was then a minor fixation with a time that kept popping up everywhere. After the talk, emails starting pouring in with an avalanche of hilarious references—from the cover of ""Crochet Today!"" magazine to the opening scene of ""The Metamorphosis."" A lyrical peek into his Museum of Four in the Morning, which overflows with treasures.","['beware', 'rive', 'contagious', 'obsession', '4', 'a.m.', 'ted2007', 'poet', 'share', 'minor', 'fixation', 'time', 'keep', 'pop', 'talk', 'email', 'start', 'pour', 'avalanche', 'hilarious', 'reference', 'cover', 'crochet', 'today', 'magazine', 'opening', 'scene', 'metamorphosis', 'lyrical', 'peek', 'museum', 'morning', 'overflow', 'treasure']","['entertainment', 'humor', 'online video', 'spoken word', 'storytelling']",1827375,170
Yossi Vardi: We're worried about local warming ... in your lap,"Investor and prankster Yossi Vardi delivers a ballsy lecture on the dangers of blogging. Specifically, for men.","['investor', 'prankster', 'yossi', 'vardi', 'deliver', 'ballsy', 'lecture', 'danger', 'blogging', 'specifically', 'man']","['comedy', 'humor']",933311,71
Suzanne Talhouk: Don't kill your language,"More and more, English is a global language; speaking it is perceived as a sign of being modern. But -- what do we lose when we leave behind our mother tongues? Suzanne Talhouk makes an impassioned case to love your own language, and to cherish what it can express that no other language can. In Arabic with subtitles.","['english', 'global', 'language', 'speak', 'perceive', 'sign', 'modern', 'lose', 'leave', 'mother', 'tongue', 'suzanne', 'talhouk', 'make', 'impassioned', 'case', 'love', 'language', 'cherish', 'express', 'language', 'arabic', 'subtitle']","['TEDx', 'culture', 'language', 'poetry']",1233104,345
Karen Tse: How to stop torture,"Political prisoners aren't the only ones being tortured -- the vast majority of judicial torture happens in ordinary cases, even in 'functioning' legal systems. Social activist Karen Tse shows how we can, and should, stand up and end the use of routine torture.","['political', 'prisoner', 'one', 'torture', 'vast', 'majority', 'judicial', 'torture', 'happen', 'ordinary', 'case', 'function', 'legal', 'system', 'social', 'activist', 'karen', 'tse', 'show', 'stand', 'end', 'use', 'routine', 'torture']","['global issues', 'law', 'politics', 'prison', 'war']",532416,108
Steven Schwaitzberg: A universal translator for surgeons,"Laparoscopic surgery uses minimally invasive incisions -- which means less pain and shorter recovery times for patients. But Steven Schwaitzberg has run into two problems teaching these techniques to surgeons around the world: language and distance. He shares how a new technology, which combines videoconferencing and a real-time universal translator, could help.","['laparoscopic', 'surgery', 'use', 'minimally', 'invasive', 'incision', 'mean', 'pain', 'short', 'recovery', 'time', 'patient', 'steven', 'schwaitzberg', 'run', 'problem', 'teach', 'technique', 'surgeon', 'world', 'language', 'distance', 'share', 'new', 'technology', 'combine', 'videoconferencing', 'real', 'time', 'universal', 'translator', 'help']","['Surgery', 'TEDx', 'health care', 'medicine', 'technology']",497489,73
Steve Truglia: A leap from the edge of space,"At his day job, Steve Truglia flips cars, walks through fire and falls out of buildings -- pushing technology to make stunts bigger, safer, more awesome. He talks us through his next stunt: the highest jump ever attempted, from the very edge of space.","['day', 'job', 'steve', 'truglia', 'flip', 'car', 'walk', 'fire', 'fall', 'building', 'push', 'technology', 'stunt', 'big', 'safe', 'awesome', 'talk', 'stunt', 'high', 'jump', 'attempt', 'edge', 'space']","['entertainment', 'film', 'space', 'sports', 'technology']",571893,60
Philip Zimbardo: The psychology of evil,"Philip Zimbardo knows how easy it is for nice people to turn bad. In this talk, he shares insights and graphic unseen photos from the Abu Ghraib trials. Then he talks about the flip side: how easy it is to be a hero, and how we can rise to the challenge.","['philip', 'zimbardo', 'know', 'easy', 'nice', 'people', 'turn', 'bad', 'talk', 'share', 'insight', 'graphic', 'unseen', 'photo', 'abu', 'ghraib', 'trial', 'talk', 'flip', 'easy', 'hero', 'rise', 'challenge']","['children', 'crime', 'culture', 'education', 'evil', 'global issues', 'peace', 'prison', 'psychology']",5842377,383
